provider_number,fy_start,fy_end,date_processed,date_created,data_source,beds,tot_charges,net_pat_rev,tot_discounts,tot_operating_exp,ip_charges,icu_charges,ancillary_charges,tot_discharges,mcare_discharges,mcaid_discharges,tot_mcare_payment,secondary_mcare_payment,street,city,state,zip,county,name,uncomp_care,cost_to_charge,new_cap_ass,cash,fixed_assets,depr_land,depr_bldg,depr_lease,depr_fixed_equip,depr_auto,depr_major_equip,depr_minor_equip,current_assets,current_liabilities,pps_ip_charges,pps_op_charges,pps_mcare_cost,pps_pgm_cost,hvbp_payment,hrrp_payment,tot_uncomp_care_charges,tot_uncomp_care_partial_pmts,bad_debt,depr_HIT,year,source
340097,2008-10-01,2009-09-30,2012-02-09,2012-02-08,v1996,81.0,208108422.0,90428534.0,117679888.0,90237106.0,12917530.0,,64869661.0,5115.0,2855.0,724.0,13536388.0,976.0,100 PARKWOOD DRIVE,ELKIN,NC,28621,SURRY,HUGH CHATHAM MEMORIAL HOSPITAL,3305189.0,0.310375,9359218.0,5977406.0,45674800.0,,46718149.0,,,,,,24489103.0,16884798.0,88521115.0,107710237.0,9549789.0,8710005.0,,,,,,,2009,unique reports
340098,2009-01-01,2009-12-31,2012-04-17,2012-04-10,v1996,281.0,824041342.0,312055437.0,511985905.0,257349702.0,59537769.0,28994950.0,266670945.0,16723.0,5187.0,2557.0,50924126.0,129922.0,2001 VAIL AVENUE,CHARLOTTE,NC,28207-5009,MECKLENBURG,MERCY HOSPITALS  INC.,45229933.0,0.285387,,-960.0,90774196.0,,,,,,138773664.0,,713140754.0,2397692.0,361451437.0,447605182.0,57384625.0,51640109.0,,,,,,,2009,unique reports
340099,2008-10-01,2009-09-30,2012-02-09,2012-02-08,v1996,86.0,150851426.0,69798115.0,81053311.0,58899351.0,8455393.0,3763063.0,47440389.0,3465.0,1898.0,1224.0,14792640.0,29473.0,500 SOUTH ACADEMY STREET,AHOSKIE,NC,27910,HERTFORD,ROANOKE CHOWAN HOSPITAL,17053075.0,0.374132,1214466.0,4169068.0,21669574.0,1310481.0,19325944.0,,,,21034134.0,,19936699.0,10276879.0,67328237.0,70653248.0,14661844.0,13710630.0,,,,,,,2009,unique reports
340104,2009-01-01,2009-12-31,2013-06-13,2013-06-13,v1996,50.0,7903076.0,3638252.0,4264824.0,5498965.0,3592683.0,,1895970.0,10.0,10.0,,428451.0,,315 WEST COLLEGE AVENUE,BOILING SPRINGS,NC,28017,CLEVELAND,CRAWLEY MEMORIAL HOSPITAL,26666.0,0.707712,188412.0,-2835.0,2147079.0,,2930467.0,,111067.0,,442682.0,,951036.0,9966433.0,7838645.0,64430.0,1863417.0,1763450.0,,,,,,,2009,unique reports
340106,2008-10-01,2009-09-30,2013-02-15,2013-02-15,v1996,64.0,129540168.0,36796487.0,92743681.0,35806791.0,6566100.0,,61331817.0,3711.0,1926.0,514.0,13136136.0,,1000 WEST HAMLET AVE,HAMLET,NC,28345,RICHMOND,SANDHILLS REGIONAL MEDICAL CENTER,4053414.0,0.217489,462978.0,-476465.0,19100181.0,333163.0,6213998.0,20071.0,12744.0,,9064253.0,267022.0,5973849.0,1675336.0,67892339.0,61647830.0,11599420.0,9992349.0,,,,,,,2009,unique reports
340107,2008-10-01,2009-09-30,2012-05-21,2012-05-21,v1996,101.0,158437714.0,64107853.0,94329861.0,52293530.0,10588191.0,3051841.0,59522444.0,4914.0,1956.0,1466.0,14793217.0,9304.0,111 HOSPITAL DRIVE,TARBORO,NC,27886,EDGECOME,HERITAGE HOSPITAL,16839401.0,0.349761,1525289.0,3627080.0,45983282.0,,,,27955510.0,,,,16746029.0,10257106.0,80917136.0,77520578.0,14214282.0,13344933.0,,,,,,,2009,unique reports
340109,2008-10-01,2009-09-30,2012-02-08,2012-02-07,v1996,142.0,226987071.0,96045003.0,130942068.0,94791909.0,14140552.0,3932793.0,77410861.0,5720.0,2965.0,1395.0,23464939.0,,HIGHWAY 17 NORTH,ELIZABETH CITY,NC,27909,PASQUOTANK,ALBEMARLE HOSPITAL,17437196.0,0.396371,17601819.0,550987.0,65053823.0,,29589952.0,,,,,,35432328.0,11625007.0,97879575.0,129107496.0,28157334.0,25336972.0,,,,,,,2009,unique reports
340113,2009-01-01,2009-12-31,2012-04-17,2012-04-10,v1996,748.0,2942025325.0,1152472138.0,1789553187.0,1301830962.0,415927615.0,220184007.0,1022851001.0,42798.0,12171.0,14300.0,201932283.0,680914.0,1000 BLYTHE BLVD,CHARLOTTE,NC,28232,MECKLENBURG,CAROLINAS MEDICAL CENTER,188056240.0,0.326511,31535423.0,33569.0,395068179.0,,453762266.0,,,,5085752.0,,428413621.0,73134288.0,1573840534.0,1080254683.0,158341439.0,140663677.0,,,,,,,2009,unique reports
340115,2008-10-01,2009-09-30,2012-06-05,2012-06-05,v1996,331.0,853863830.0,355937127.0,497926703.0,325716682.0,57546134.0,33242637.0,358740567.0,21502.0,10110.0,3360.0,,,35 MEMORIAL DRIVE,PINEHURST,NC,28374,MOORE,FIRSTHEALTH MOORE REGIONAL HOSPITAL,40824377.0,0.34734,59809992.0,15539274.0,180665851.0,5909097.0,108427268.0,,,,165890341.0,,163525410.0,68915990.0,480436330.0,324254478.0,90002928.0,81418049.0,,,,,,,2009,unique reports
340119,2008-10-01,2009-09-30,2012-05-03,2012-05-03,v1996,94.0,197157684.0,91492699.0,105664985.0,93930663.0,,,,3941.0,1894.0,1364.0,16449586.0,9795.0,301 YADKIN STREET,ALBEMARLE,NC,28001,STANLY,STANLY REGIONAL MEDICAL CENTER,13547234.0,0.335895,2463679.0,9606128.0,46625863.0,6466113.0,47513244.0,,,6489.0,24276959.0,,29076704.0,19059123.0,71251709.0,105509011.0,14274472.0,13190271.0,,,,,,,2009,unique reports
